Review,Rating,Cleaned_Review,Sentiment
I love Spotify! The playlists are awesome.,5,love spotify playlist awesome,Positive
Too many ads and glitches.,2,many ad glitch,Positive
Good app but crashes sometimes.,3,good app crash sometimes,Positive
Best music experience ever!,5,best music experience ever,Positive
Not worth paying for premium version.,1,worth paying premium version,Positive
Great app for discovering new artists.,4,great app discovering new artist,Positive
The UI is confusing and slow.,2,ui confusing slow,Negative
I enjoy listening to music every day with Spotify.,5,enjoy listening music every day spotify,Positive
Playback randomly stops sometimes.,2,playback randomly stop sometimes,Negative
Awesome sound quality and song recommendations!,5,awesome sound quality song recommendation,Positive
App crashes frequently and ruins the experience.,1,app crash frequently ruin experience,Positive
Easy to use and has a great collection of songs.,4,easy use great collection song,Positive
Disappointed with the recent update.,2,disappointed recent update,Negative
Spotify makes my workouts more fun!,5,spotify make workout fun,Positive
Very buggy after the last update.,2,buggy last update,Neutral
